arm,best_ms,worst_ms,ratio_to_baseline,ran
bash declare -a  append,9,10,within the noise,yes
bash declare -a  by index,9,10,within the noise,yes
slots by index,13,14,144%,yes
slots  appends batched,17,18,188%,yes
slots  one extra eval,14,15,155%,yes
rope  chunked strings,117,120,1300%,yes
string then split on index,112,114,1244%,yes
string  split by the shell,10,11,within the noise,yes
string  split then shifted,11,12,122%,yes
one string  unit-separated,2934,2970,32600%,yes
one string  prepended,3010,3049,33444%,yes
positional parameters,39,40,433%,yes
